timestamp_ms,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,filtered_ax,filtered_ay,filtered_az,filtered_gx,filtered_gy,filtered_gz,roll_deg,pitch_deg,yaw_deg,qx,qy,qz,qw,filter_method
114397,-0.105,-0.448,9.876,0.008,0.048,0.009,-0.105,-0.448,9.876,0.008,0.048,0.009,-2.5971523682422184,0.6085105947037711,0.0,-0.0226621701599251,0.005308867936343584,0.00012034307223114217,0.9997290770415864,complementary
114497,-0.11,-0.474,9.809,0.009,0.044,0.005,-0.11,-0.474,9.809,0.009,0.044,0.005,-2.549989369246148,0.8562963993217046,0.028655034134412997,-0.02225226487100098,0.007465111923929017,0.0004162647677372574,0.9997244297983907,complementary
114597,-0.113,-0.457,9.809,0.009,0.05,0.009,-0.113,-0.457,9.809,0.009,0.05,0.009,-2.5017196080875785,1.1335561006050163,0.08030392743043059,-0.021835744934544415,0.009874324797556514,0.0009165234345087504,0.999712387608426,complementary
114697,-0.136,-0.496,9.85,0.007,0.048,0.006,-0.136,-0.496,9.85,0.007,0.048,0.006,-2.470074666405958,1.3958925284496178,0.11464152869013246,-0.02156437234907091,0.01215676155635533,0.0012626793991566295,0.9996927511162556,complementary
114797,-0.129,-0.486,9.943,0.005,0.048,0.006,-0.129,-0.486,9.943,0.005,0.048,0.006,-2.4485312684850196,1.6526160029534844,0.14905387954011096,-0.0213823544411025,0.014390202596665904,0.0016084307830984063,0.9996665093610959,complementary
114897,-0.103,-0.455,9.828,0.005,0.042,0.007,-0.103,-0.455,9.828,0.005,0.042,0.007,-2.4245507756861815,1.8669342231947699,0.18908352822766966,-0.021180657558677846,0.016252780072381078,0.0019941455381199836,0.999641560895141,complementary
114997,-0.117,-0.46,9.852,0.008,0.047,0.008,-0.117,-0.46,9.852,0.008,0.047,0.008,-2.3846024719080035,2.10708589914603,0.23491890601163087,-0.020842204705420784,0.018340087087819864,0.0024318547246811643,0.9996115894642412,complementary
115097,-0.141,-0.453,9.874,0.007,0.049,0.005,-0.141,-0.453,9.874,0.007,0.049,0.005,-2.3501516879450812,2.3563120254251095,0.26355515712582633,-0.02055039503847667,0.02050971778582858,0.002720639665500138,0.9995747250005468,complementary
115197,-0.158,-0.476,9.864,0.005,0.05,0.009,-0.158,-0.476,9.864,0.005,0.05,0.009,-2.3302769270465227,2.608712157534077,0.3152030668746034,-0.020391356365161907,0.022702631477530856,0.003212251210233539,0.9995291214125513,complementary
115297,-0.113,-0.467,9.869,0.007,0.046,0.007,-0.113,-0.467,9.869,0.007,0.046,0.007,-2.298522885986986,2.828092027979436,0.3553348405506322,-0.02012735247952958,0.024609995164069195,0.0035942591414381787,0.9994880285032999,complementary
